Year,Team with highest HR,HR,HRwin,Team with highest OBP,OBP,OBPwin,World Series champion,wsc wins
2019,Minnesota Twins,307,101,Houston Astros ,0.352,107,Washington Nationals ,93
2018,New York Yankees,267,100,Boston Red Sox,0.339,108,Boston Red Sox,108
2017,New York Yankees,241,91,Houston Astros ,0.346,101,Houston Astros,101
2016,Baltimore Orioles,253,89,Boston Red Sox,0.348,93,Chicago Cubs,103
2015,Toronto Blue Jays,232,93,Toronto Blue Jays,0.34,93,Kansas City Royals,95
2014,Baltimore Orioles,211,96,Los Angeles Dodgers,0.333,94,San Francisco Giants,88
2013,Baltimore Orioles,212,85,Boston Red Sox,0.349,97,Boston Red Sox,97
2012,New York Yankees,245,95,St. Louis Cardinals,0.338,88,San Francisco Giants,94
2011,New York Yankees,222,97,Boston Red Sox,0.349,90,St. Louis Cardinals,90
2010,Toronto Blue Jays,257,85,New York Yankees,0.35,95,San Francisco Giants,92
2009,New York Yankees,244,103,New York Yankees,0.362,103,New York Yankees,103
2008,Chicago White Sox,235,97,Boston Red Sox,0.358,95,Philadelphia Phillies,92
2007,Milwaukee Brewers,231,83,New York Yankees,0.366,94,Boston Red Sox,96
2006,Chicago White Sox,236,90,New York Yankees,0.363,97,St. Louis Cardinals,83
2005,Texas Rangers,260,79,Boston Red Sox,0.357,95,Chicago White Sox,99
2004,Chicago White Sox,242,83,Boston Red Sox,0.36,98,Boston Red Sox,98
2003,Texas Rangers,239,71,Boston Red Sox,0.36,95,Florida Marlins,91
2002,Texas Rangers,230,72,New York Yankees,0.354,103,Anaheim Angels,99
2001,Texas Rangers,246,73,Seattle Mariners,0.36,116,Arizona Diamondbacks,92
2000,Houston Astros,249,72,Cleveland Indians ,0.367,90,New York Yankees,87
